,department_name,Sum of Dept Total output cost,prev_year Sum of Dept Total output cost,program_name,program_description,Total output cost,deliverable,year,estimate_or_actual,measure_unit,measure_type,deliverable_id
2216,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",343.1,Visitors satisfied with visit: Geelong Performing Arts Centre,2015,96.0,per cent,Quality,394
2217,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",343.1,Visitors satisfied with visit: Melbourne Recital Centre,2015,98.0,per cent,Quality,395
2218,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",343.1,Visitors satisfied with visit: Museum Victoria,2015,92.0,per cent,Quality,396
2219,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",343.1,Visitors satisfied with visit: National Gallery of Victoria,2015,98.0,per cent,Quality,397
2220,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",343.1,Visitors satisfied with visit: State Library of Victoria,2015,83.0,per cent,Quality,398
2221,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",343.1,Arts portfolio public body annual reports tabled in Parliament by the required statutory dates,2015,100.0,per cent,Timeliness,399
2222,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Cultural Infrastructure and Facilities,This output supports Victorian cultural venues and state-owned facilities through strategic assessment and provision of advice on portfolio infrastructure proposals and projects. The output includes consolidation of portfolio asset management plans and management of funding programs for maintenance and minor capital works. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,100.9,Infrastructure development projects underway,2015,4.0,number,Quantity,401
2223,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Cultural Infrastructure and Facilities,This output supports Victorian cultural venues and state-owned facilities through strategic assessment and provision of advice on portfolio infrastructure proposals and projects. The output includes consolidation of portfolio asset management plans and management of funding programs for maintenance and minor capital works. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,100.9,Success measures of projects achieved,2015,90.0,per cent,Quality,403
2224,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Number of domestic overnight visitors,2015,20.5,number (million),Quantity,406
2225,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Number of domestic overnight visitors,2015,20.5,number (million),Quantity,406
2226,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Number of visitors (international),2015,2.2,number (million),Quantity,407
2227,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Number of visitors (international),2015,2.2,number (million),Quantity,407
2228,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Proportion of all international students studying in Victoria,2015,29.0,per cent,Quantity,408
2229,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Proportion of all international students studying in Victoria,2015,29.0,per cent,Quantity,408
2230,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Visitor expenditure: domestic,2015,16.4,$ billion,Quantity,409
2231,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Visitor expenditure: domestic,2015,16.4,$ billion,Quantity,409
2232,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Visitor expenditure: international,2015,5.4,$ billion,Quantity,410
2233,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Visitor expenditure: international,2015,5.4,$ billion,Quantity,410
2234,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Visitor expenditure: regional Victoria (domestic),2015,7.7,$ billion,Quantity,411
2235,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Visitor expenditure: regional Victoria (domestic),2015,7.7,$ billion,Quantity,411
2236,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Visitor expenditure: regional Victoria (international),2015,440.0,$ million,Quantity,412
2237,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Visitor expenditure: regional Victoria (international),2015,440.0,$ million,Quantity,412
2238,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Victoria represented in major industrial relations cases and inquiries,2015,100.0,per cent,Quality,415
2239,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Victoria represented in major industrial relations cases and inquiries,2015,100.0,per cent,Quality,415
2240,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Victoria represented in major industrial relations cases and inquiries,2015,100.0,per cent,Quality,415
2241,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Victoria represented in major industrial relations cases and inquiries,2015,100.0,per cent,Quality,415
2242,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Review and assessment of submitted public sector enterprise bargaining costings and proposed agreements completed and submitted for approval within four weeks,2015,87.0,per cent,Timeliness,416
2243,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Review and assessment of submitted public sector enterprise bargaining costings and proposed agreements completed and submitted for approval within four weeks,2015,87.0,per cent,Timeliness,416
2244,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Review and assessment of submitted public sector enterprise bargaining costings and proposed agreements completed and submitted for approval within four weeks,2015,87.0,per cent,Timeliness,416
2245,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,"Tourism, Major Events and International Education","This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output maximises employment and the long-term economic benefits of tourism, international education and major events to Victoria by developing and marketing the State as a competitive destination. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",4.2,Review and assessment of submitted public sector enterprise bargaining costings and proposed agreements completed and submitted for approval within four weeks,2015,87.0,per cent,Timeliness,416
2246,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Industry and Enterprise Innovation,"This output provides access to information and connections, and builds the capacity of businesses and industry to develop and effectively use new practices and technologies to increase productivity and competitiveness in Victoria. It also helps businesses overcome barriers to competitiveness, with a focus on priority sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output provides access to information and connections, and builds the capacity of businesses and industry to develop and effectively use new practices and technologies to increase productivity and competitiveness in Victoria. It also helps businesses overcome barriers to competitiveness, with a focus on priority sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",116.9,"Client satisfaction of small business information, referral, mentoring service and business programs",2015,96.0,per cent,Quality,426
2247,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Industry and Enterprise Innovation,"This output provides access to information and connections, and builds the capacity of businesses and industry to develop and effectively use new practices and technologies to increase productivity and competitiveness in Victoria. It also helps businesses overcome barriers to competitiveness, with a focus on priority sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output provides access to information and connections, and builds the capacity of businesses and industry to develop and effectively use new practices and technologies to increase productivity and competitiveness in Victoria. It also helps businesses overcome barriers to competitiveness, with a focus on priority sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",116.9,Client satisfaction with Victorian Small Business Commission mediation service,2015,95.0,per cent,Quality,427
2248,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Industry and Enterprise Innovation,"This output provides access to information and connections, and builds the capacity of businesses and industry to develop and effectively use new practices and technologies to increase productivity and competitiveness in Victoria. It also helps businesses overcome barriers to competitiveness, with a focus on priority sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output provides access to information and connections, and builds the capacity of businesses and industry to develop and effectively use new practices and technologies to increase productivity and competitiveness in Victoria. It also helps businesses overcome barriers to competitiveness, with a focus on priority sectors. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",116.9,Proportion of business disputes presented to the Small Business Commission successfully mediated,2015,82.0,per cent,Quality,429
2249,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Jobs and Investment,This output includes initiatives to support job growth and connect people to job opportunities. It also provides investment attraction and facilitation services to attract new investment and encourage additional investment by companies already operating in Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output includes initiatives to support job growth and connect people to job opportunities. It also provides investment attraction and facilitation services to attract new investment and encourage additional investment by companies already operating in Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,118.0,Government Youth Employment Scheme traineeships commenced,2015,307.0,number,Quantity,431
2250,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Jobs and Investment,This output includes initiatives to support job growth and connect people to job opportunities. It also provides investment attraction and facilitation services to attract new investment and encourage additional investment by companies already operating in Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output includes initiatives to support job growth and connect people to job opportunities. It also provides investment attraction and facilitation services to attract new investment and encourage additional investment by companies already operating in Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,118.0,Government Youth Employment Scheme traineeships commenced,2015,307.0,number,Quantity,431
2251,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Jobs and Investment,This output includes initiatives to support job growth and connect people to job opportunities. It also provides investment attraction and facilitation services to attract new investment and encourage additional investment by companies already operating in Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output includes initiatives to support job growth and connect people to job opportunities. It also provides investment attraction and facilitation services to attract new investment and encourage additional investment by companies already operating in Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,118.0,Jobs resulting from government investment facilitation services and assistance,2015,6120.0,number,Quantity,432
2252,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Jobs and Investment,This output includes initiatives to support job growth and connect people to job opportunities. It also provides investment attraction and facilitation services to attract new investment and encourage additional investment by companies already operating in Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output includes initiatives to support job growth and connect people to job opportunities. It also provides investment attraction and facilitation services to attract new investment and encourage additional investment by companies already operating in Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,118.0,Jobs resulting from government investment facilitation services and assistance,2015,6120.0,number,Quantity,432
2253,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Jobs and Investment,This output includes initiatives to support job growth and connect people to job opportunities. It also provides investment attraction and facilitation services to attract new investment and encourage additional investment by companies already operating in Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output includes initiatives to support job growth and connect people to job opportunities. It also provides investment attraction and facilitation services to attract new investment and encourage additional investment by companies already operating in Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,118.0,New investment resulting from government facilitation services and assistance,2015,2319.0,$ million,Quantity,434
2254,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Jobs and Investment,This output includes initiatives to support job growth and connect people to job opportunities. It also provides investment attraction and facilitation services to attract new investment and encourage additional investment by companies already operating in Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output includes initiatives to support job growth and connect people to job opportunities. It also provides investment attraction and facilitation services to attract new investment and encourage additional investment by companies already operating in Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,118.0,New investment resulting from government facilitation services and assistance,2015,2319.0,$ million,Quantity,434
2255,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Regional Development,This output guides engagement with industry and communities to identify and deliver priorities for managing growth and change in regional and rural Victoria. It provides support and services to create jobs and improve career opportunities for regional Victorians. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,201.8,Jobs in regional Victoria resulting from government investment facilitation services and assistance,2015,2094.0,number,Quantity,440
2256,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Regional Development,This output guides engagement with industry and communities to identify and deliver priorities for managing growth and change in regional and rural Victoria. It provides support and services to create jobs and improve career opportunities for regional Victorians. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,201.8,New investment in regional Victoria resulting from government facilitation services and assistance,2015,724.0,$ million,Quantity,441
2257,"Department of Economic Development, Jobs, Transport and Resources",7702.0,2995.2999999999993,Regional Development,This output guides engagement with industry and communities to identify and deliver priorities for managing growth and change in regional and rural Victoria. It provides support and services to create jobs and improve career opportunities for regional Victorians. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,201.8,Participant satisfaction with implementation of Regional Development Victoria programs,2015,93.0,per cent,Quality,442
